n_state_partitions,seeds_in_state_tier,seeds_country_tier_only,residual_area_km2,seed_count,duplicate_metro_ids_dropped,country_area_km2,n_clusters,rotated_for_pole,number_of_output_pieces,number_of_metros,sum_cell_area_km2,area_sum_residual_km2,max_cell_area_km2,geometry_valid,country_code,case
10,31,0,8.822391972456217e-06,31,0,466331.23296236614,0,False,0,31,0.0,0.0,0.0,True,CM,halfspace_intersection
31,400,0,5.418967716090765,400,0,9373413.043079397,0,False,0,404,0.0,0.0,0.0,True,CN,halfspace_intersection
30,71,1,55331.13957884427,72,0,1140094.8066723607,0,False,0,76,0.0,0.0,0.0,True,CO,halfspace_intersection
7,13,0,1.094962535310488e-06,13,0,51360.02761067354,0,False,0,13,0.0,0.0,0.0,True,CR,halfspace_intersection
16,26,0,65.5442440241069,26,0,110287.59183658451,0,False,0,27,0.0,0.0,0.0,True,CU,halfspace_intersection
2,2,0,3619.614284709046,2,0,3940.3564888027495,0,False,0,4,0.0,0.0,0.0,True,CV,two_seeds_bisector
1,1,0,0.0,1,0,465.0448025826036,0,False,0,1,0.0,0.0,0.0,True,CW,fully_state_partitioned
5,6,0,420.89969185670105,6,0,9282.130464577804,0,False,0,9,0.0,0.0,0.0,True,CY,halfspace_intersection
12,12,0,14142.970706390306,12,0,78497.27711849197,0,False,0,20,0.0,0.0,0.0,True,CZ,halfspace_intersection
16,58,0,7.336326616839091e-05,58,0,356378.7389625982,0,False,0,58,0.0,0.0,0.0,True,DE,halfspace_intersection
5,5,0,1726.6634755024625,5,0,21933.755356362508,0,False,0,9,0.0,0.0,0.0,True,DJ,halfspace_intersection
5,12,0,0.0,12,0,42494.306904926496,0,False,0,12,0.0,0.0,0.0,True,DK,fully_state_partitioned
1,1,0,679.1761512655577,1,0,732.8957148390549,0,False,0,2,0.0,0.0,0.0,True,DM,single_seed
29,30,1,2628.9488565011297,31,0,48589.064967318605,0,False,0,40,0.0,0.0,0.0,True,DO,halfspace_intersection
39,51,0,33852.61372763534,51,0,2312302.0456192847,0,False,0,75,0.0,0.0,0.0,True,DZ,halfspace_intersection
21,37,0,43476.95504498357,37,0,256155.22036410827,0,False,0,47,0.0,0.0,0.0,True,EC,halfspace_intersection
6,7,0,22688.04073044994,7,0,45576.26829823094,0,False,0,13,0.0,0.0,0.0,True,EE,halfspace_intersection
27,42,0,2.0083421282775514e-05,42,0,1002869.976658216,0,False,0,42,0.0,0.0,0.0,True,EG,halfspace_intersection
1,1,0,0.0,1,0,90696.45643316276,0,False,0,1,0.0,0.0,0.0,True,EH,fully_state_partitioned
6,7,0,0.006987640814963782,7,0,122972.07670672881,0,False,0,8,0.0,0.0,0.0,True,ER,halfspace_intersection
39,49,0,158886.5922423166,49,0,506328.3346149196,0,False,0,81,0.0,0.0,0.0,True,ES,halfspace_intersection
9,34,0,120099.63440801203,34,0,1132066.5124010928,0,False,0,42,0.0,0.0,0.0,True,ET,halfspace_intersection
16,21,0,38229.072007689596,21,0,330937.68816411274,0,False,0,31,0.0,0.0,0.0,True,FI,halfspace_intersection
3,4,0,1450.1128162232299,4,0,18992.16104936439,0,False,0,6,0.0,0.0,0.0,True,FJ,halfspace_intersection
1,2,0,0.0,2,0,11553.35997207036,0,False,0,2,0.0,0.0,0.0,True,FK,fully_state_partitioned
1,1,0,281.1614820467119,1,0,636.5647172171887,0,False,0,2,0.0,0.0,0.0,True,FM,single_seed
1,2,0,0.0,2,0,1320.5868539143023,0,False,0,2,0.0,0.0,0.0,True,FO,fully_state_partitioned
52,58,0,236661.91518542237,58,0,546435.2533471219,0,False,0,106,0.0,0.0,0.0,True,FR,halfspace_intersection
9,20,0,0.12970788771457464,20,0,261133.32029156512,0,False,0,21,0.0,0.0,0.0,True,GA,halfspace_intersection
54,57,0,149816.3772388939,57,0,242736.7566188261,0,False,0,109,0.0,0.0,0.0,True,GB,halfspace_intersection
1,1,0,264.8200478354778,1,0,348.6113702376319,0,False,0,2,0.0,0.0,0.0,True,GD,single_seed
7,7,0,31730.449401140508,7,0,69462.33015081509,0,False,0,13,0.0,0.0,0.0,True,GE,halfspace_intersection
0,0,7,83551.73524953847,7,0,83551.73524953847,0,False,0,7,0.0,0.0,0.0,True,GF,halfspace_intersection
1,1,0,1.0537130155330405,1,0,73.74340703129971,0,False,0,2,0.0,0.0,0.0,True,GG,single_seed
10,17,0,4.895559432082852e-05,17,0,239676.40133648206,0,False,0,18,0.0,0.0,0.0,True,GH,halfspace_intersection
0,0,1,3.6918280577784026,1,0,3.6918280577784026,0,False,0,1,0.0,0.0,0.0,True,GI,single_seed
5,16,6,1.4280936679726641,22,0,2137890.5209210985,0,False,0,18,0.0,0.0,0.0,True,GL,halfspace_intersection
6,7,0,5.201367271154368e-07,7,0,10540.59284054934,0,False,0,7,0.0,0.0,0.0,True,GM,halfspace_intersection
28,29,0,24830.829998763464,29,0,245290.1259741846,0,False,0,45,0.0,0.0,0.0,True,GN,halfspace_intersection
0,0,2,1663.0259892599477,2,0,1663.0259892599477,0,False,0,2,0.0,0.0,0.0,True,GP,two_seeds_bisector
5,6,0,3341.7677470596086,6,0,26791.065118335617,0,False,0,10,0.0,0.0,0.0,True,GQ,halfspace_intersection
12,30,0,10037.327835196738,30,0,131243.73834565497,0,False,0,34,0.0,0.0,0.0,True,GR,halfspace_intersection
1,1,0,0.0,1,0,3904.106538955178,0,False,0,1,0.0,0.0,0.0,True,GS,fully_state_partitioned
22,26,0,0.05089858499321385,26,0,109192.00544620673,0,False,0,29,0.0,0.0,0.0,True,GT,halfspace_intersection
1,1,0,0.0,1,0,566.3283528908614,0,False,0,1,0.0,0.0,0.0,True,GU,fully_state_partitioned
8,8,0,857.6072468059075,8,0,32957.31961420417,0,False,0,10,0.0,0.0,0.0,True,GW,halfspace_intersection
8,10,0,23863.827509629766,10,0,212139.3791788456,0,False,0,17,0.0,0.0,0.0,True,GY,halfspace_intersection
1,1,0,1025.7608207270555,1,0,1038.8369978685876,0,False,0,2,0.0,0.0,0.0,True,HK,single_seed
18,19,0,5.545617303591487e-07,19,0,112641.55610102764,0,False,0,19,0.0,0.0,0.0,True,HN,halfspace_intersection
10,10,0,23506.992635212497,10,0,54900.22747068131,0,False,0,18,0.0,0.0,0.0,True,HR,halfspace_intersection
9,9,0,1207.1967015078772,9,0,26974.229277545623,0,False,0,11,0.0,0.0,0.0,True,HT,halfspace_intersection
20,20,0,81527.10041738767,20,0,92946.61383553139,0,False,0,40,0.0,0.0,0.0,True,HU,halfspace_intersection
33,105,0,0.00034658188402837746,105,0,1888146.4397331807,0,False,0,105,0.0,0.0,0.0,True,ID,halfspace_intersection
12,15,0,31066.087350764123,15,0,69160.1722599331,0,False,0,27,0.0,0.0,0.0,True,IE,halfspace_intersection
6,6,0,0.00542824275162424,6,0,22119.79447813115,0,False,0,8,0.0,0.0,0.0,True,IL,halfspace_intersection
1,1,0,0.0,1,0,572.3121868899125,0,False,0,1,0.0,0.0,0.0,True,IM,fully_state_partitioned
36,214,0,2087.6828050807,214,0,3160404.176406282,0,False,0,220,0.0,0.0,0.0,True,IN,halfspace_intersection
0,0,1,161.65062731886846,1,0,161.65062731886846,0,False,0,1,0.0,0.0,0.0,True,IO,single_seed
18,27,0,0.017188742451038984,27,0,437585.5109614254,0,False,0,30,0.0,0.0,0.0,True,IQ,halfspace_intersection
30,63,0,0.05560922520371719,63,0,1623487.662020142,0,False,0,68,0.0,0.0,0.0,True,IR,halfspace_intersection
8,9,0,613.9257324592669,9,0,101722.67771630822,0,False,0,12,0.0,0.0,0.0,True,IS,halfspace_intersection
55,56,0,127030.9557180589,56,0,300678.18022894266,0,False,0,106,0.0,0.0,0.0,True,IT,halfspace_intersection
0,0,1,118.66811879438366,1,0,118.66811879438366,0,False,0,1,0.0,0.0,0.0,True,JE,single_seed
14,14,0,0.0003155948611263681,14,0,11068.04493427339,0,False,0,16,0.0,0.0,0.0,True,JM,halfspace_intersection
9,9,0,2088.747792335901,9,0,88940.452035165,0,False,0,15,0.0,0.0,0.0,True,JO,halfspace_intersection
44,69,0,11411.389594680524,69,0,373332.03331327904,0,False,0,83,0.0,0.0,0.0,True,JP,halfspace_intersection
8,36,0,2.6430222988533914e-08,36,0,588319.9065699782,0,False,0,36,0.0,0.0,0.0,True,KE,halfspace_intersection
7,14,0,16865.84381244748,14,0,198712.63347135825,0,False,0,16,0.0,0.0,0.0,True,KG,halfspace_intersection
19,19,0,10077.428350239388,19,0,181754.1700168033,0,False,0,28,0.0,0.0,0.0,True,KH,halfspace_intersection
1,1,0,31.133993877428477,1,0,954.0947197993165,0,False,0,2,0.0,0.0,0.0,True,KI,single_seed
1,1,0,650.0704946399987,1,0,1678.7828066824447,0,False,0,2,0.0,0.0,0.0,True,KM,single_seed
1,1,0,229.9002121970424,1,0,264.994922957081,0,False,0,2,0.0,0.0,0.0,True,KN,single_seed
11,27,0,0.007633221930306667,27,0,121104.70492991802,0,False,0,28,0.0,0.0,0.0,True,KP,halfspace_intersection
15,28,0,7932.841296843886,28,0,97424.11983889241,0,False,0,37,0.0,0.0,0.0,True,KR,halfspace_intersection
4,4,0,288.2958454129134,4,0,17495.63139858174,0,False,0,7,0.0,0.0,0.0,True,KW,halfspace_intersection
1,1,0,0.0,1,0,310.13062799093916,0,False,0,1,0.0,0.0,0.0,True,KY,fully_state_partitioned
15,95,1,6485.566539239098,96,0,2712841.467567533,0,False,0,98,0.0,0.0,0.0,True,KZ,halfspace_intersection
13,14,0,35215.12780994373,14,0,228826.97195884623,0,False,0,25,0.0,0.0,0.0,True,LA,halfspace_intersection
6,6,0,3.3552114510491377e-07,6,0,10007.147934517028,0,False,0,6,0.0,0.0,0.0,True,LB,halfspace_intersection
1,1,0,529.1750053417676,1,0,607.3807463755294,0,False,0,2,0.0,0.0,0.0,True,LC,single_seed
1,1,0,122.69143888831591,1,0,136.87637672132627,0,False,0,2,0.0,0.0,0.0,True,LI,single_seed
12,14,0,36658.811955925295,14,0,66572.97752032951,0,False,0,28,0.0,0.0,0.0,True,LK,halfspace_intersection
12,13,0,16992.342057219295,13,0,95709.63964733358,0,False,0,24,0.0,0.0,0.0,True,LR,halfspace_intersection
7,8,0,8804.470590540284,8,0,30143.04399553366,0,False,0,14,0.0,0.0,0.0,True,LS,halfspace_intersection
5,5,0,25166.26763119509,5,0,64641.26296860568,0,False,0,10,0.0,0.0,0.0,True,LT,halfspace_intersection
3,3,0,0.0006447077256117987,3,0,2599.7841284404526,0,False,0,4,0.0,0.0,0.0,True,LU,halfspace_intersection
6,6,0,55557.95871952235,6,0,64259.002938522324,0,False,0,12,0.0,0.0,0.0,True,LV,halfspace_intersection
20,35,0,33770.644510803264,35,0,1626531.51162738,0,False,0,45,0.0,0.0,0.0,True,LY,halfspace_intersection
15,26,0,16481.126882481312,26,0,592429.2840024878,0,False,0,33,0.0,0.0,0.0,True,MA,halfspace_intersection
1,1,0,3.048179385254233e-08,1,0,18.803271533055668,0,False,0,1,0.0,0.0,0.0,True,MC,single_seed
5,5,0,29855.64409257446,5,0,33115.789680934795,0,False,0,10,0.0,0.0,0.0,True,MD,halfspace_intersection
1,1,0,12269.087507304104,1,0,13704.079345227487,0,False,0,2,0.0,0.0,0.0,True,ME,single_seed
1,1,0,0.0,1,0,68.49973469400679,0,False,0,1,0.0,0.0,0.0,True,MF,fully_state_partitioned
6,28,0,0.01511578377299599,28,0,594753.2061738063,0,False,0,32,0.0,0.0,0.0,True,MG,halfspace_intersection
1,1,0,81.8308775344422,1,0,165.51896361279248,0,False,0,2,0.0,0.0,0.0,True,MH,single_seed
3,3,0,24284.892233184273,3,0,25348.96491850039,0,False,0,6,0.0,0.0,0.0,True,MK,halfspace_intersection
9,30,0,0.008608635989355497,30,0,1256812.6854758004,0,False,0,31,0.0,0.0,0.0,True,ML,halfspace_intersection
14,37,0,0.042558013854790515,37,0,664957.178554328,0,False,0,42,0.0,0.0,0.0,True,MM,halfspace_intersection
20,24,0,4274.218111861644,24,0,1560551.8298709865,0,False,0,28,0.0,0.0,0.0,True,MN,halfspace_intersection
1,1,0,7.415397693195874e-05,1,0,30.15321411084839,0,False,0,1,0.0,0.0,0.0,True,MO,single_seed
1,1,0,448.38020657150673,1,0,581.2909881536978,0,False,0,2,0.0,0.0,0.0,True,MP,single_seed
0,0,1,1101.4421908840604,1,0,1101.4421908840604,0,False,0,1,0.0,0.0,0.0,True,MQ,single_seed
12,20,0,13727.238831077773,20,0,1039353.7551417117,0,False,0,26,0.0,0.0,0.0,True,MR,halfspace_intersection
1,1,0,67.89374455122233,1,0,99.93330473104481,0,False,0,2,0.0,0.0,0.0,True,MS,single_seed
1,1,0,324.1615628436158,1,0,325.64065295681763,0,False,0,2,0.0,0.0,0.0,True,MT,single_seed
2,2,0,1942.7110877487478,2,0,2020.247091398433,0,False,0,4,0.0,0.0,0.0,True,MU,two_seeds_bisector
1,1,0,72.74870961084204,1,0,109.22189955995232,0,False,0,2,0.0,0.0,0.0,True,MV,single_seed
17,20,0,32187.695226520147,20,0,119848.62068378006,0,False,0,37,0.0,0.0,0.0,True,MW,halfspace_intersection
32,189,0,133.63493185955028,189,0,1962242.9459823351,0,False,0,193,0.0,0.0,0.0,True,MX,halfspace_intersection
15,32,0,90.75642147902282,32,0,329334.8514977912,0,False,0,33,0.0,0.0,0.0,True,MY,halfspace_intersection
10,34,0,6.366306267391057e-07,34,0,791021.4136978096,0,False,0,34,0.0,0.0,0.0,True,MZ,halfspace_intersection
12,27,0,26703.880763593883,27,0,824823.9008823927,0,False,0,31,0.0,0.0,0.0,True,NA,halfspace_intersection
1,1,0,11560.081990435712,1,0,18892.22978402929,0,False,0,2,0.0,0.0,0.0,True,NC,single_seed
8,16,0,4.4592426958135374e-05,16,0,1185161.0688141987,0,False,0,16,0.0,0.0,0.0,True,NE,halfspace_intersection
1,1,0,0.0,1,0,41.20114439379631,0,False,0,1,0.0,0.0,0.0,True,NF,fully_state_partitioned
35,68,0,16141.208490586605,68,0,911216.9569592368,0,False,0,74,0.0,0.0,0.0,True,NG,halfspace_intersection
17,19,0,1.1983796563612996,19,0,129176.63462629518,0,False,0,20,0.0,0.0,0.0,True,NI,halfspace_intersection
11,14,0,2386.5615113422864,14,0,36957.00347545735,0,False,0,17,0.0,0.0,0.0,True,NL,halfspace_intersection
19,34,0,0.00023789027280353038,34,0,317926.8360083111,0,False,0,34,0.0,0.0,0.0,True,NO,halfspace_intersection
14,17,0,0.002304033844138337,17,0,147323.50600271678,0,False,0,18,0.0,0.0,0.0,True,NP,halfspace_intersection
1,1,0,27.156771500660113,1,0,28.896067224116234,0,False,0,2,0.0,0.0,0.0,True,NR,single_seed
1,1,0,0.0,1,0,221.24875062690865,0,False,0,1,0.0,0.0,0.0,True,NU,fully_state_partitioned
17,52,0,10381.374168809054,52,0,268104.4102814027,0,False,0,59,0.0,0.0,0.0,True,NZ,halfspace_intersection
6,10,0,92910.17749141934,10,0,312089.85847205634,0,False,0,18,0.0,0.0,0.0,True,OM,halfspace_intersection
9,13,1,12744.778129252445,14,0,74842.94574209112,0,False,0,20,0.0,0.0,0.0,True,PA,halfspace_intersection
25,87,2,0.0015167386236203241,89,0,1295126.761401695,0,False,0,90,0.0,0.0,0.0,True,PE,halfspace_intersection
1,1,0,2191.770931096736,1,0,3353.2432248396535,0,False,0,2,0.0,0.0,0.0,True,PF,single_seed
19,22,1,100248.5595760317,23,0,467150.49535315594,0,False,0,26,0.0,0.0,0.0,True,PG,halfspace_intersection
32,38,0,155810.26300804468,38,0,294429.9309958938,0,False,0,73,0.0,0.0,0.0,True,PH,halfspace_intersection
7,41,0,11966.448378330928,41,0,873936.2807688769,0,False,0,47,0.0,0.0,0.0,True,PK,halfspace_intersection
16,24,0,0.003067339594399788,24,0,312218.0309417253,0,False,0,26,0.0,0.0,0.0,True,PL,halfspace_intersection
1,1,0,212.20666939088832,1,0,242.11381158577836,0,False,0,2,0.0,0.0,0.0,True,PM,single_seed
1,1,0,0.0,1,0,42.66301059586458,0,False,0,1,0.0,0.0,0.0,True,PN,fully_state_partitioned
0,0,4,9034.555012702242,4,0,9034.555012702242,0,False,0,4,0.0,0.0,0.0,True,PR,halfspace_intersection
2,4,0,2.6138033710746056e-07,4,0,6078.841299345043,0,False,0,4,0.0,0.0,0.0,True,PS,halfspace_intersection
19,23,1,2174.294410536102,24,0,91302.77572338101,0,False,0,30,0.0,0.0,0.0,True,PT,halfspace_intersection
2,2,0,403.6746997885291,2,0,494.0340740581299,0,False,0,4,0.0,0.0,0.0,True,PW,two_seeds_bisector
18,37,0,4.1793398759052124e-07,37,0,400858.3403035812,0,False,0,37,0.0,0.0,0.0,True,PY,halfspace_intersection
1,1,0,11052.9984857261,1,0,11172.810634576585,0,False,0,2,0.0,0.0,0.0,True,QA,single_seed
0,0,2,2589.5106001330105,2,0,2589.5106001330105,0,False,0,2,0.0,0.0,0.0,True,RE,two_seeds_bisector
41,41,0,1468.7057715245498,41,0,235805.73757771082,0,False,0,43,0.0,0.0,0.0,True,RO,halfspace_intersection
7,7,0,56925.74709225159,7,0,77470.4951301187,0,False,0,14,0.0,0.0,0.0,True,RS,halfspace_intersection
83,579,6,27070.526010432717,585,0,16886305.876077607,0,False,0,592,0.0,0.0,0.0,True,RU,halfspace_intersection
5,11,0,1.3029135059835793e-07,11,0,25418.25711164337,0,False,0,11,0.0,0.0,0.0,True,RW,halfspace_intersection
12,31,0,10338.089830340961,31,0,1926006.499966393,0,False,0,37,0.0,0.0,0.0,True,SA,halfspace_intersection
3,3,0,18173.246603368458,3,0,27312.043732855152,0,False,0,5,0.0,0.0,0.0,True,SB,halfspace_intersection
1,1,0,434.07097841820587,1,0,437.536309162114,0,False,0,2,0.0,0.0,0.0,True,SC,single_seed
15,30,0,37538.13796278706,30,0,1861995.7137464539,0,False,0,34,0.0,0.0,0.0,True,SD,halfspace_intersection
21,34,0,0.0008331419342262133,34,0,443493.59320982615,0,False,0,36,0.0,0.0,0.0,True,SE,halfspace_intersection
1,1,0,403.6833287878304,1,0,512.7913779622909,0,False,0,2,0.0,0.0,0.0,True,SG,single_seed
1,1,2,241.9909610698313,3,0,367.34824989265337,0,False,0,3,0.0,0.0,0.0,True,SH,halfspace_intersection
2,2,0,19846.13223406091,2,0,20276.533928258315,0,False,0,4,0.0,0.0,0.0,True,SI,two_seeds_bisector
0,0,1,61559.7965095444,1,0,61559.7965095444,0,False,0,1,0.0,0.0,0.0,True,SJ,single_seed
6,7,0,10649.545543304243,7,0,48308.373437258146,0,False,0,12,0.0,0.0,0.0,True,SK,halfspace_intersection
4,5,0,3.226058218595709e-06,5,0,71911.66994826992,0,False,0,5,0.0,0.0,0.0,True,SL,halfspace_intersection
1,1,0,48.677409354799835,1,0,60.19829503491084,0,False,0,2,0.0,0.0,0.0,True,SM,single_seed
11,11,0,37128.84945870522,11,0,196942.48832584545,0,False,0,19,0.0,0.0,0.0,True,SN,halfspace_intersection
14,32,0,0.0008700053051200367,32,0,641965.4082777115,0,False,0,34,0.0,0.0,0.0,True,SO,halfspace_intersection
9,10,0,437.2927894942825,10,0,145764.39594383998,0,False,0,13,0.0,0.0,0.0,True,SR,halfspace_intersection
10,15,0,2.0222623473707103e-06,15,0,629530.4195881971,0,False,0,15,0.0,0.0,0.0,True,SS,halfspace_intersection
2,2,0,0.0,2,0,1041.8115624193415,0,False,0,2,0.0,0.0,0.0,True,ST,fully_state_partitioned
14,14,0,0.0022431568743297454,14,0,20616.0944560983,0,False,0,15,0.0,0.0,0.0,True,SV,halfspace_intersection
0,0,1,23.43281264038386,1,0,23.43281264038386,0,False,0,1,0.0,0.0,0.0,True,SX,single_seed
14,21,0,307.38837800817146,21,0,185952.04809473833,0,False,0,26,0.0,0.0,0.0,True,SY,halfspace_intersection
4,7,0,0.0,7,0,17142.7808785481,0,False,0,7,0.0,0.0,0.0,True,SZ,fully_state_partitioned
1,1,0,432.3492311520255,1,0,446.38828494711953,0,False,0,2,0.0,0.0,0.0,True,TC,single_seed
16,19,0,197176.48795101556,19,0,1270722.883216057,0,False,0,35,0.0,0.0,0.0,True,TD,halfspace_intersection
1,1,0,292.6892157240956,1,0,7256.955218742819,0,False,0,2,0.0,0.0,0.0,True,TF,single_seed
5,7,0,0.055708802092904255,7,0,57101.541784953486,0,False,0,8,0.0,0.0,0.0,True,TG,halfspace_intersection
