country_code,has_boundary,seed_count,area_km2,action
NG,True,68,911216.96,tessellate
NI,True,19,129176.63,tessellate
NL,True,14,36957.0,tessellate
NO,True,34,317926.84,tessellate
NP,True,17,147323.51,tessellate
NR,True,1,28.9,tessellate
NU,True,1,221.25,tessellate
NZ,True,52,268104.41,tessellate
OM,True,10,312089.86,tessellate
PA,True,14,74842.95,tessellate
PE,True,89,1295126.76,tessellate
PF,True,1,3353.24,tessellate
PG,True,23,467150.5,tessellate
PH,True,38,294429.93,tessellate
PK,True,41,873936.28,tessellate
PL,True,24,312218.03,tessellate
PM,True,1,242.11,tessellate
PN,True,1,42.66,tessellate
PR,True,4,9034.56,tessellate
PS,True,4,6078.84,tessellate
PT,True,24,91302.78,tessellate
PW,True,2,494.03,tessellate
PY,True,37,400858.34,tessellate
QA,True,1,11172.81,tessellate
RE,True,2,2589.51,tessellate
RO,True,41,235805.74,tessellate
RS,True,7,77470.5,tessellate
RU,True,585,16886305.88,tessellate
RW,True,11,25418.26,tessellate
SA,True,31,1926006.5,tessellate
SB,True,3,27312.04,tessellate
SC,True,1,437.54,tessellate
SD,True,30,1861995.71,tessellate
SE,True,34,443493.59,tessellate
SG,True,1,512.79,tessellate
SH,True,3,367.35,tessellate
SI,True,2,20276.53,tessellate
SJ,True,1,61559.8,tessellate
SK,True,7,48308.37,tessellate
SL,True,5,71911.67,tessellate
SM,True,1,60.2,tessellate
SN,True,11,196942.49,tessellate
SO,True,32,641965.41,tessellate
SR,True,10,145764.4,tessellate
SS,True,15,629530.42,tessellate
ST,True,2,1041.81,tessellate
SV,True,14,20616.09,tessellate
SX,True,1,23.43,tessellate
SY,True,21,185952.05,tessellate
SZ,True,7,17142.78,tessellate
TC,True,1,446.39,tessellate
TD,True,19,1270722.88,tessellate
TF,True,1,7256.96,tessellate
TG,True,7,57101.54,tessellate
TH,True,79,516275.46,tessellate
TJ,True,9,142136.27,tessellate
TK,True,1,4.25,tessellate
TL,True,1,15145.12,tessellate
TM,True,13,470449.29,tessellate
TN,True,26,156654.68,tessellate
TO,True,2,604.86,tessellate
TR,True,83,779426.4,tessellate
TT,True,2,5143.65,tessellate
TV,True,1,23.12,tessellate
TW,True,25,36281.43,tessellate
TZ,True,59,945555.98,tessellate
UA,True,49,570179.82,tessellate
UG,True,43,242936.02,tessellate
UM,True,2,28.1,tessellate
US,True,769,9447868.3,tessellate
UY,True,32,177439.53,tessellate
UZ,True,29,447179.81,tessellate
VA,True,1,0.01,tessellate
VC,True,1,369.12,tessellate
VE,True,50,916571.33,tessellate
VG,True,1,145.39,tessellate
VI,True,1,355.93,tessellate
VN,True,60,329986.81,tessellate
VU,True,2,12338.91,tessellate
WF,True,1,139.85,tessellate
WS,True,1,2790.8,tessellate
XK,True,3,10895.06,tessellate
YE,True,20,454649.16,tessellate
YT,True,1,396.41,tessellate
ZA,True,72,1221445.99,tessellate
ZM,True,34,754730.14,tessellate
ZW,True,20,390529.16,tessellate
