country_code,n_metros,country_area_km2,uncovered_km2,overlap_km2,escape_km2,invalid_geoms,max_cell_area_km2,union_ok,measured_rotated
AD,2,451.49409048356006,3.023150120468796e-08,4.95084358393274e-12,4.400749852384658e-12,0,437.02139576928,True,False
AE,12,71247.25180640929,0.0062081830575677075,0.01461417582360577,0.0,0,46186.95728000423,True,False
AF,43,642392.4477833406,0.014239523520176918,0.0207128484303954,0.006977676778109531,0,57352.16363171045,True,False
AG,2,453.34225932272085,1.1666436546844054e-07,2.5445131571269394e-11,6.999750201143305e-08,0,377.32856589232756,True,False
AI,2,87.6976507095649,0.001320006949368379,2.200374926192329e-12,7.104219876939209e-08,0,81.4753117912409,True,False
AL,28,28298.353041951832,0.0033254708379177066,0.00653637687309184,0.025067702537081533,0,2111.787870200876,True,False
AM,14,29554.974809381765,0.0022083821009403573,0.0015125770570190396,0.0,0,5265.905140586955,True,False
AO,48,1249439.4645781866,0.013450933402183242,0.004781138903282317,0.03806921509771808,0,85491.07998458206,True,False
AQ,40,12258369.704555996,150307.94242229452,5.17502328235053e-07,164.08890724049678,1,2006011.092787294,False,True
AR,157,2783121.600367892,1.0005461264716538,0.8928268613451344,0.07801721022543892,0,59893.602201496185,True,False
AS,2,180.9668145381554,9.282831719873889e-12,5.500937315480823e-13,0.00023619419879203487,0,126.42595230197959,True,False
AT,12,83755.91604845668,9.337090215085133e-07,5.653782606585698e-07,0.0,0,19041.869804298953,True,False
AU,228,7705923.799071813,0.345477293357507,0.1504885141992307,0.597521081960351,0,328366.6571314545,True,False
AW,1,170.42131191173183,0.0,0.0,8.801499704769316e-12,0,170.42131191171202,True,False
AX,2,936.7828863273613,0.0,1.1089889628009339e-09,0.0,0,928.2288394394263,True,False
AZ,33,86152.93414957602,0.06616834230161203,0.011935441256194182,0.003497174790010448,0,12523.018289304506,True,False
BA,11,51721.63103022403,0.00682378574741547,0.0004995575517207807,0.003961227134848168,0,14229.548432207865,True,False
BB,2,445.9073308290718,7.700935423723099e-05,4.428513051420934e-08,4.420081259009367e-08,0,405.6456129331478,True,False
BD,17,137217.43812371156,0.01580409348522317,0.0016959777071182296,0.0026936767871227215,0,17423.470979782043,True,False
BE,17,30561.231485976892,0.0016069008918145025,0.0020685905976840476,3.469302596262778e-05,0,4421.624947513409,True,False
BF,55,273826.75096048234,0.006818156249467899,0.0018460944345556492,0.057133844258538055,0,15358.649827308229,True,False
BG,34,112568.2715680181,0.007856556002295964,0.018127702310629167,0.0062196067547988475,0,8744.240300871012,True,False
BH,2,689.4262293653254,0.0,2.6092770768628888e-08,0.0,0,653.9743167179724,True,False
BI,24,27161.382223030803,0.0004059934174111707,0.0012325304938984097,2.2214474365144092e-07,0,3381.2841671972806,True,False
BJ,16,116589.9505014442,0.011527219364601684,0.006045330710786561,0.005288785769226718,0,26795.49392744234,True,False
BL,1,24.50054631912476,0.0,0.0,0.0,0,24.500546319133562,True,False
BM,2,62.34263175428848,2.173949346497078e-07,1.4727478083477632e-06,6.990812830194709e-07,0,58.465251566909124,True,False
BN,2,5741.828335637696,1.9883189525209113e-08,0.0,7.79073023149044e-08,0,5173.05907162715,True,False
BO,69,1090454.2215018445,0.21464121621293597,0.19272897636219322,0.08059573018039885,0,63953.44143033257,True,False
BQ,3,296.3614408055647,6.601124778576987e-12,0.0,3.3005623892884933e-12,0,270.17691601855023,True,False
BR,395,8504953.80485405,0.3151682505138395,0.24943057265840501,0.3677193751735323,0,302614.9971842001,True,False
BS,4,12631.900060564058,0.00015010495420207388,7.211915576257733e-05,7.1910921230180486e-06,0,10828.279763947445,True,False
BT,8,40487.61559179967,0.0022142699678544403,0.0014087824290213644,0.0005118591031488922,0,20034.028644074722,True,False
BV,0,54.96767531297265,54.96767531297265,0.0,0.0,0,0.0,True,False
BW,27,580514.9278348137,0.01696562617964092,0.2536248552555794,0.0021924651894953988,0,115129.50304728639,True,False
BY,17,206632.09945031922,0.017785529018928697,0.0016071265276966582,0.013292927931469736,0,24912.927489386544,True,False
BZ,8,22373.252943489246,0.0002115503953423589,0.005886839848693243,3.1225038458258796e-07,0,4729.2397808687265,True,False
CA,255,9894500.669896249,1.5771682886073846,0.40964283510149807,0.94117272975958,0,266511.26423501095,True,False
CD,90,2335422.2928652,0.03653275301859511,0.010303898842494217,0.026555540076835235,0,80338.60582843274,True,False
CF,21,620643.7904223438,0.006430346949470778,9.208268519402076e-06,0.00028309077089078513,0,58340.39570399944,True,False
CG,19,346428.73122006265,0.0016734017062457493,0.0011129666289763605,0.00023560480503834668,0,67377.0569353059,True,False
CH,31,41326.03402574493,0.008872870271264896,0.0001522596833160719,2.2979300062934547e-05,0,7001.669485115018,True,False
CI,25,322038.6063728985,0.00912485837017284,0.011485863110999243,0.004968875414411645,0,37999.776789946714,True,False
